H:M:S:MS),Midspain-x,Midspain-y,Midspain-z,AnkleLeft-x,AnkleLeft-y,AnkleLeft-z,AnkleRight-x,AnkleRight-y,AnkleRight-z,ElbowLeft-x,ElbowLeft-y,ElbowLeft-z,ElbowRight-x,ElbowRight-y,ElbowRight-z,FootLeft-x,FootLeft-y,FootLeft-z,FootRight-x,FootRight-y,FootRight-z,HandLeft-x,HandLeft-y,HandLeft-z,HandRight-x,HandRight-y,HandRight-z,HandTipLeft-x,HandTipLeft-y,HandTipLeft-z,HandTipRight-x,HandTipRight-y,HandTipRight-z,Head-x,Head-y,Head-z,HipLeft-x,HipLeft-y,HipLeft-z,HipRight-x,HipRight-y,HipRight-z,KneeLeft-x,KneeLeft-y,KneeLeft-z,KneeRight-x,KneeRight-y,KneeRight-z,Neck-x,Neck-y,Neck-z,ShoulderLeft-x,ShoulderLeft-y,ShoulderLeft-z,ShoulderRight-x,ShoulderRight-y,ShoulderRight-z,SpineBase-x,SpineBase-y,SpineBase-z,SpineShoulder-x,SpineShoulder-y,SpineShoulder-z,ThumbLeft-x,ThumbLeft-y,ThumbLeft-z,ThumbRight-x,ThumbRight-y,ThumbRight-z,WristLeft-x,WristLeft-y,WristLeft-z,WristRight-x,WristRight-y,WristRight-z
0:0:0:333),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0:0:0:366),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0:0:0:400),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0:0:0:433),0.005230702459812164,0.21347317192703485,-0.0482704546302557,-0.11301222443580627,-0.44516709446907043,-0.19698765873908997,0.026925891637802124,-0.5741221904754639,0.2484852522611618,-0.20089389383792877,0.22669722139835358,-0.0858532264828682,0.22184783220291138,0.2259494960308075,-0.06075219064950943,-0.1115671843290329,-0.551608145236969,-0.29337722063064575,0.045092806220054626,-0.6713669896125793,0.18273873627185822,-0.24930821359157562,0.044838257133960724,-0.15857498347759247,0.233515202999115,0.0712079256772995,-0.12301521003246307,-0.2519877552986145,-0.014242437668144703,-0.19204892218112946,0.21764367818832397,0.0270366333425045,-0.1479315459728241,0.007783584296703339,0.5453215837478638,-0.2893316149711609,-0.1002063900232315,0.009768758900463581,-0.017771277576684952,0.10042272508144379,-0.009504825808107853,0.019097167998552322,-0.09175723791122437,-0.11339196562767029,-0.29918962717056274,0.07478788495063782,-0.3156483769416809,0.07517983019351959,0.010353237390518188,0.42681437730789185,-0.09720385447144508,-0.13887816667556763,0.43025919795036316,-0.10792040079832077,0.159584641456604,0.42336955666542053,-0.0864873081445694,0.00010816752910614014,0.00013196654617786407,0.0006629452109336853,0.010353237390518188,0.42681437730789185,-0.09720385447144508,-0.24213218688964844,0.03103562630712986,-0.16612090170383453,0.22058716416358948,0.0613374188542366,-0.13216067850589752,-0.24930821359157562,0.044838257133960724,-0.15857498347759247,0.233515202999115,0.0712079256772995,-0.12301521003246307
0:0:0:466),0.005562985315918922,0.21864855336025357,-0.07542679598554969,-0.1316876858472824,-0.5818415284156799,0.14631733298301697,0.0017459300579503179,-0.6216322779655457,0.3217279314994812,-0.20401796698570251,0.25943002104759216,-0.1029706671833992,0.22854474186897278,0.22594895958900452,-0.1448756605386734,-0.14440248906612396,-0.6859839558601379,0.046141404658555984,0.03149294853210449,-0.7209569215774536,0.2363639920949936,-0.25785526633262634,0.06488016247749329,-0.19844713807106018,0.23084208369255066,0.053020674735307693,-0.24607545137405396,-0.26197758316993713,-0.002748421160504222,-0.24956418573856354,0.20614004135131836,0.0024829981848597527,-0.29676294326782227,0.007216407917439938,0.5587447285652161,-0.36244192719459534,-0.10136615484952927,0.00910426676273346,-0.015747152268886566,0.10160171985626221,-0.00869487039744854,0.017147691920399666,-0.09266894310712814,-0.28550779819488525,-0.05893583595752716,0.06040672957897186,-0.33677175641059875,0.10568585991859436,0.011008188128471375,0.4370924085378647,-0.15155386179685593,-0.14040866494178772,0.44560402631759644,-0.1423395574092865,0.16242504119873047,0.42858079075813293,-0.16076816618442535,0.00011778250336647034,0.00020469818264245987,0.0007002698257565498,0.011008188128471375,0.4370924085378647,-0.15155386179685593,-0.25135400891304016,0.04946210980415344,-0.21005520224571228,0.21535685658454895,0.04304422065615654,-0.25878921151161194,-0.25785526633262634,0.06488016247749329,-0.19844713807106018,0.23084208369255066,0.053020674735307693,-0.24607545137405396
0:0:0:500),0.003870870918035507,0.22619442560244352,-0.07178854336962104,-0.13161377608776093,-0.6397519111633301,0.06305785477161407,-0.03240933641791344,-0.6616994142532349,0.30427438020706177,-0.21095794439315796,0.26938602328300476,-0.0968383178114891,0.22759853303432465,0.2323600947856903,-0.1409911811351776,-0.14024974405765533,-0.7490026354789734,-0.04685385897755623,0.004037830047309399,-0.7540285587310791,0.2319270223379135,-0.27679187059402466,0.08362039178609848,-0.19272971153259277,0.20750686526298523,0.054200831800699234,-0.25203371047973633,-0.2889094948768616,0.016435733065009117,-0.2379414290189743,0.17098930478096008,0.005130099598318338,-0.301440954208374,0.0027441412676125765,0.591101884841919,-0.3453497290611267,-0.10194087028503418,0.007137529086321592,-0.015640035271644592,0.10217826068401337,-0.006606067530810833,0.017072537913918495,-0.08843862265348434,-0.3344986140727997,-0.10334528237581253,0.035638127475976944,-0.357101708650589,0.1022302508354187,0.007623046636581421,0.45212312042713165,-0.14429333806037903,-0.14564257860183716,0.4585835933685303,-0.13961447775363922,0.160888671875,0.44566264748573303,-0.14897219836711884,0.0001186951994895935,0.0002657307777553797,0.0007162513211369514,0.007623046636581421,0.45212312042713165,-0.14429333806037903,-0.27272140979766846,0.06841249018907547,-0.20253951847553253,0.18844136595726013,0.04417082667350769,-0.2635484039783478,-0.27679187059402466,0.08362039178609848,-0.19272971153259277,0.20750686526298523,0.054200831800699234,-0.25203371047973633
0:0:0:533),0.005193149670958519,0.22852441179566085,-0.06657543627079576,-0.10784101486206055,-0.7128220200538635,0.20374958217144012,-0.02610648237168789,-0.6814023852348328,0.25465571880340576,-0.20633643865585327,0.2772122025489807,-0.0453929528594017,0.23034821450710297,0.2374475598335266,-0.18790815770626068,-0.13347798585891724,-0.8304896950721741,0.0971219390630722,0.008934793062508106,-0.7948539853096008,0.1516532599925995,-0.276454359292984,0.09781652688980103,-0.12927408516407013,0.1759728193283081,0.10634396225214005,-0.3524288833141327,-0.28938233852386475,0.030658721923828125,-0.18019095063209534,0.12709522247314453,0.07871078699827194,-0.4039694666862488,0.0023851448204368353,0.5972589254379272,-0.33807557821273804,-0.1035669595003128,0.005369373597204685,-0.003885852638632059,0.10378269106149673,-0.004720507189631462,0.00550780538469553,-0.0764312744140625,-0.4017898738384247,0.012792523019015789,0.055498410016298294,-0.3714645802974701,0.05835530161857605,0.010278433561325073,0.4567243903875351,-0.13396184891462326,-0.14314669370651245,0.46491581201553345,-0.1138642281293869,0.1637035608291626,0.44853296875953674,-0.15405946969985962,0.00010786578059196472,0.00032443320378661156,0.0008109763730317354,0.010278433561325073,0.4567243903875351,-0.13396184891462326,-0.27316755056381226,0.08391458541154861,-0.14229071140289307,0.15565884113311768,0.10556872189044952,-0.36188292503356934,-0.276454359292984,0.09781652688980103,-0.12927408516407013,0.1759728193283081,0.10634396225214005,-0.3524288833141327
0:0:0:566),0.006833236664533615,0.22777522075921297,-0.06364509690320119,-0.09405814856290817,-0.7576298713684082,0.17956630885601044,-0.015099194832146168,-0.7275974750518799,0.19043263792991638,-0.20554473996162415,0.27497872710227966,-0.025721507146954536,0.23402006924152374,0.23705703020095825,-0.19439639151096344,-0.13234782218933105,-0.8722876310348511,0.06761931627988815,0.01190247107297182,-0.84764564037323,0.07182992249727249,-0.2832818329334259,0.09609591215848923,-0.11341337114572525,0.1691567450761795,0.1104644164443016,-0.35886406898498535,-0.29940393567085266,0.02862413600087166,-0.16575346887111664,0.11753913760185242,0.08253162354230881,-0.40979599952697754,0.0022682929411530495,0.5917497873306274,-0.33745867013931274,-0.10427399724721909,0.004538471810519695,0.0054427143186330795,0.10447736829519272,-0.0038403933867812157,-0.0037971509154886007,-0.06836532801389694,-0.42434626817703247,0.01970508135855198,0.05736401677131653,-0.39088404178619385,0.028330205008387566,0.013564787805080414,0.4552014023065567,-0.12811297550797462,-0.13918021321296692,0.46348389983177185,-0.09940562397241592,0.16630978882312775,0.44691890478134155,-0.15682032704353333,0.0001016855239868164,0.0003490392118692398,0.0008227817015722394,0.013564787805080414,0.4552014023065567,-0.12811297550797462,-0.2815699577331543,0.08241695165634155,-0.12724575400352478,0.14864684641361237,0.11027327179908752,-0.36758551001548767,-0.2832818329334259,0.09609591215848923,-0.11341337114572525,0.1691567450761795,0.1104644164443016,-0.35886406898498535
0:0:0:600),0.008841784670948982,0.22807213594205678,-0.05671790009364486,-0.062345296144485474,-0.7786348462104797,0.15042252838611603,0.039514947682619095,-0.7371917963027954,0.15000011026859283,-0.206355482339859,0.2775837182998657,-0.013544077053666115,0.24233609437942505,0.23615916073322296,-0.18132853507995605,-0.10608640313148499,-0.8929086923599243,0.03365204855799675,0.05779429152607918,-0.8606275916099548,0.026629215106368065,-0.2864350974559784,0.1038912981748581,-0.1130269467830658,0.17724120616912842,0.1150178387761116,-0.35068196058273315,-0.29959598183631897,0.03911655396223068,-0.1663084477186203,0.13100114464759827,0.09142758697271347,-0.4039202332496643,0.004722443409264088,0.5912621021270752,-0.3354794979095459,-0.10535385459661484,0.0031092986464500427,0.01131417229771614,0.10556389391422272,-0.0023915721103549004,-0.00977221317589283,-0.05982194095849991,-0.43303558230400085,0.012470576912164688,0.07111608237028122,-0.39134320616722107,0.0031227581202983856,0.017578549683094025,0.455785408616066,-0.11420677974820137,-0.13702964782714844,0.46561411023139954,-0.0786835178732872,0.1721867471933365,0.4459567070007324,-0.14973004162311554,0.00010501965880393982,0.0003588632680475712,0.0007709795609116554,0.017578549683094025,0.455785408616066,-0.11420677974820137,-0.2837130129337311,0.09180039912462234,-0.12670665979385376,0.15803420543670654,0.11649607121944427,-0.3602898418903351,-0.2864350974559784,0.1038912981748581,-0.1130269467830658,0.17724120616912842,0.1150178387761116,-0.35068196058273315
0:0:0:633),0.01038346253335476,0.22535972605692223,-0.0651959921233356,-0.044849079102277756,-0.7813920378684998,0.14695052802562714,0.06875758618116379,-0.7440150380134583,0.12741641700267792,-0.21311208605766296,0.275897741317749,-0.060340460389852524,0.2538957893848419,0.22175276279449463,-0.2046404927968979,-0.09215830266475677,-0.8936436772346497,0.027459733188152313,0.07603683322668076,-0.8731197714805603,-0.0023796046152710915,-0.2916578948497772,0.10370994359254837,-0.20985907316207886,0.21313054859638214,0.08419444411993027,-0.36510610580444336,-0.2995755076408386,0.04042103514075279,-0.27494266629219055,0.17482858896255493,0.05420834571123123,-0.42235612869262695,0.005971962586045265,0.5894042253494263,-0.35830938816070557,-0.10609450191259384,0.002821495523676276,0.017771955579519272,0.10633686184883118,-0.0021101911552250385,-0.016325147822499275,-0.05663080886006355,-0.42923715710639954,0.018863076344132423,0.07918199896812439,-0.39341387152671814,-0.013656847178936005,0.02064574509859085,0.45036379992961884,-0.1311153881251812,-0.13647013902664185,0.46390700340270996,-0.08937329798936844,0.17776162922382355,0.4368205964565277,-0.17285747826099396,0.0001211799681186676,0.00035565218422561884,0.0007234038785099983,0.02064574509859085,0.45036379992961884,-0.1311153881251812,-0.2868269383907318,0.09172159433364868,-0.226097971200943,0.19538310170173645,0.08503087610006332,-0.37678614258766174,-0.2916578948497772,0.10370994359254837,-0.20985907316207886,0.21313054859638214,0.08419444411993027,-0.36510610580444336
